iter	Passed	Remaining
576	11097	27367
577	11114	27345
578	11131	27320
579	11149	27295
580	11166	27272
581	11183	27248
582	11202	27228
583	11219	27203
584	11239	27186
585	11256	27162
586	11276	27143
587	11294	27122
588	11312	27100
589	11330	27076
590	11347	27053
591	11367	27035
592	11385	27014
593	11405	26996
594	11424	26976
595	11442	26954
596	11461	26934
597	11477	26909
598	11495	26887
599	11513	26864
600	11531	26843
601	11549	26821
602	11567	26799
603	11586	26779
604	11604	26757
605	11620	26732
606	11639	26710
607	11658	26691
608	11674	26665
609	11693	26644
610	11709	26619
611	11726	26594
612	11744	26573
613	11761	26549
614	11778	26525
615	11797	26505
616	11815	26484
617	11832	26460
618	11850	26438
619	11869	26419
620	11889	26403
621	11907	26380
622	11925	26358
623	11947	26344
624	11967	26329
625	11988	26314
626	12008	26295
627	12026	26274
628	12045	26255
629	12063	26232
630	12082	26214
631	12115	26224
632	12132	26200
633	12152	26182
634	12170	26161
635	12187	26137
636	12204	26114
637	12222	26093
638	12240	26071
639	12259	26051
640	12277	26030
641	12295	26007
642	12312	25983
643	12330	25962
644	12350	25945
645	12368	25924
646	12386	25902
647	12404	25881
648	12423	25860
649	12443	25844
650	12463	25827
651	12481	25806
652	12499	25784
653	12517	25763
654	12536	25742
655	12554	25721
656	12573	25702
657	12591	25680
658	12609	25658
659	12628	25640
660	12646	25617
661	12662	25593
662	12680	25570
663	12697	25548
664	12714	25525
665	12733	25506
666	12752	25486
667	12770	25464
668	12787	25442
669	12805	25419
670	12823	25398
671	12841	25376
672	12861	25360
673	12879	25339
674	12898	25320
675	12916	25298
676	12934	25277
677	12952	25254
678	12968	25231
679	12986	25209
680	13005	25189
681	13023	25168
682	13040	25145
683	13058	25123
684	13075	25101
685	13094	25081
686	13139	25112
687	13156	25088
688	13173	25065
689	13191	25043
690	13209	25022
691	13227	25002
692	13245	24981
693	13263	24960
694	13281	24938
695	13299	24916
696	13318	24897
697	13337	24879
698	13354	24856
699	13372	24834
700	13390	24813
701	13409	24793
702	13426	24771
703	13444	24749
704	13462	24729
705	13480	24708
706	13500	24691
707	13519	24671
708	13537	24650
709	13555	24628
710	13574	24609
711	13593	24590
712	13611	24569
713	13628	24547
714	13646	24525
715	13665	24506
716	13684	24486
717	13703	24468
718	13721	24447
719	13739	24425
720	13758	24406
721	13776	24386
722	13795	24365
723	13814	24347
724	13832	24326
725	13849	24304
726	13869	24285
727	13887	24265
728	13906	24245
729	13925	24225
730	13942	24203
731	13961	24185
732	13982	24169
733	14000	24148
734	14018	24127
735	14036	24106
736	14055	24086
737	14072	24063
738	14090	24044
739	14111	24027
740	14159	24057
741	14176	24035
742	14195	24015
743	14214	23996
744	14232	23975
745	14251	23955
746	14270	23937
747	14288	23915
748	14304	23892
749	14324	23873
750	14343	23854
751	14360	23831
752	14377	23810
753	14395	23788
754	14412	23766
755	14431	23747
756	14449	23725
757	14467	23705
758	14485	23683
